player_name,plus_minus,eFG_avg,winning_perct,total_games,pts,Score,year_count,plus_minus_x,eFG_avg_x,winning_perct_x,total_games_x,pts_x,Score_x,year_count_x,plus_minus_y,eFG_avg_y,winning_perct_y,total_games_y,pts_y,Score_y,year_count_y,total_year_count,total_score,avg_score,Rank
Danny Green,7.975,62.22222222222222,70.0,80,10.2625,31.206805555555555,1,2.9722222222222223,54.074074074074076,66.66666666666666,36,8.578947368421053,24.542275828460042,1,3.75,54.2194092827004,75.0,68,8.044117647058824,26.468822908910397,1,3,26.320412625152585,8.773470875050862,116
Maxi Kleber,0.9295774647887324,55.31088082901554,42.25352112676056,71,6.830985915,23.8213821787891,1,3.0,62.06896551724137,65.21739130434783,23,7.52,25.19011094452773,1,1.4324324324324325,57.68482490272374,56.75675675675675,74,9.08108108108108,26.76580082027553,1,3,26.30344191305165,8.767813971017217,117
Devonte' Graham,-2.1739130434782608,42.12962962962962,39.130434782608695,46,4.717391304,17.075885668068278,1,2.92,46.45161290322579,44.0,25,13.592592592592592,23.948458781362003,1,-2.9206349206349205,49.53271028037384,36.507936507936506,63,18.17460317460317,27.53317757009346,1,3,26.29336921724591,8.764456405748637,118
Lauri Markkanen,-3.807692307692308,50.566037735849065,30.76923076923077,52,18.73076923,27.066509433500727,1,-5.785714285714287,62.16216216216216,35.714285714285715,14,19.4375,28.242326254826253,1,-1.4,51.692047377326546,36.0,50,14.74,25.717011844331637,1,3,26.289549605889015,8.763183201963004,119
Marcus Smart,1.9625,53.262786596119916,60.0,80,8.85,26.116321649029977,1,-0.2352941176470588,46.80851063829786,52.941176470588246,17,13.388888888888893,23.17369628702545,1,4.733333333333333,47.58064516129032,65.0,60,12.933333333333335,27.088494623655915,1,3,26.256926307598526,8.752308769199509,120
Dorian Finney-Smith,-1.0740740740740742,50.662878787878796,40.74074074074074,81,7.50617284,22.987941919488218,1,0.7692307692307693,53.51351351351351,57.69230769230769,26,8.178571428571429,22.66244431244431,1,3.859154929577465,57.471264367816104,56.3380281690141,71,9.549295774647886,27.42908369758783,1,3,26.253698731654147,8.751232910551382,121
Kevin Love,-2.636363636363636,47.87985865724382,31.818181818181817,22,17.0,24.201782846129134,1,9.0,41.66666666666667,100.0,2,7.666666666666668,22.36666666666667,1,-4.821428571428571,55.02063273727648,28.57142857142857,56,17.625,27.353372470033406,1,3,26.198451828164846,8.732817276054949,122
Dario Saric,-0.8518518518518519,52.1551724137931,48.148148148148145,81,10.59259259,25.638793101892723,1,9.235294117647056,56.29370629370629,70.58823529411767,17,11.73684210526316,27.80376713070212,1,-1.0303030303030305,55.39033457249071,48.48484848484848,66,10.666666666666666,25.714250309789342,1,3,26.128380813577067,8.709460271192356,123
Robert Williams III,-1.53125,70.58823529411767,56.25,32,2.53125,23.19549632352942,1,-1.3448275862068966,72.13114754098359,55.17241379310346,29,6.766666666666668,25.965200678349348,1,1.206896551724138,72.72727272727273,65.51724137931035,29,5.172413793103448,26.312852664576802,1,3,26.08745445027894,8.69581815009298,124
Carmelo Anthony,-6.3,49.17355371900828,40.0,10,13.4,21.25838842975207,1,-2.9117647058823533,48.75621890547264,58.82352941176471,34,14.138888888888893,24.585623353819145,1,0.3103448275862069,48.529411764705884,48.27586206896552,58,15.43103448275862,26.78235294117647,1,3,26.066808798133785,8.688936266044594,125
